"Date","SQQQ.Open","SQQQ.High","SQQQ.Low","SQQQ.Close","SQQQ.Volume","SQQQ.Adjusted"
2021-03-26,355.25,360.25,337.5,338.25,4340308,301.291748046875
2021-03-29,340.25,350,335.25,338.75,3755064,301.737121582031
2021-03-30,345.25,353,342,343.75,2600116,306.190826416016
2021-03-31,338,339,322.75,328,3226180,292.161743164062
2021-04-01,316,316.75,310.75,311,2919040,277.019195556641
2021-04-05,303.75,304.5,290.25,292.75,2774104,260.763275146484
2021-04-06,293.5,295.25,287.75,293.5,2239848,261.431274414062
2021-04-07,294.25,297,288.75,291,2203144,259.204437255859
2021-04-08,283.25,285.5,281.5,281.75,2103792,250.965148925781
2021-04-09,285.5,287.25,276.25,276.75,2947088,246.511444091797
2021-04-12,279.25,282.75,276.75,278,1938872,247.624847412109
2021-04-13,273.75,274.5,267,268,2333116,238.717514038086
2021-04-14,267.5,279.75,267.25,277.75,2706996,247.402206420898
2021-04-15,270.25,270.75,264,264.75,3028960,235.82258605957
2021-04-16,264.25,268.5,263.5,264,1999800,235.154556274414
2021-04-19,268,276,265,271.5,3195316,241.835098266602
2021-04-20,272.75,282.25,269.75,277.25,2877744,246.956802368164
2021-04-21,280.5,283.25,269.5,270,2551152,240.498962402344
2021-04-22,271,282.75,268.5,279.75,4324064,249.183639526367
2021-04-23,278,278.25,265.75,269.25,2432760,239.830932617188
2021-04-26,268.5,270.5,263.25,263.75,2484876,234.931869506836
2021-04-27,263,269.75,262.75,267.25,2425428,238.049453735352
2021-04-28,268,271.75,265.75,270.25,1825132,240.721649169922
2021-04-29,262,275.25,261,267,2672240,237.826766967773
2021-04-30,273.25,274.75,267,272.25,2157892,242.503143310547
2021-05-03,269.5,278,267.5,276.5,1817040,246.28874206543
2021-05-04,283.25,301.5,282.25,291.5,5179052,259.649780273438
2021-05-05,286,296.75,283.75,294.5,2480532,262.322021484375
2021-05-06,295.5,301.5,287.5,288,3231272,256.532196044922
2021-05-07,280.25,283.75,274.5,280.75,3031292,250.07438659668
2021-05-10,284.25,302.5,284,302,2710724,269.002563476562
2021-05-11,319,321,301,303,5185236,269.893280029297
2021-05-12,317.5,329.25,310.75,326.5,6474776,290.825592041016
2021-05-13,317.5,326.75,309.75,319.25,4697936,284.367736816406
2021-05-14,309.25,311,295.25,298.25,3495000,265.662292480469
2021-05-17,303,311.5,301,303.5,2759232,270.338684082031
2021-05-18,300.5,310.5,297.25,309.5,2332948,275.683074951172
2021-05-19,325.5,326.75,307.5,308.5,4450560,274.792358398438
2021-05-20,304.25,304.75,288,290.5,3328852,258.759033203125
2021-05-21,286.25,296.5,285,295.25,2420868,262.990081787109
2021-05-24,289,290,277.25,280.25,2293960,249.629043579102
2021-05-25,276.25,282.5,274.5,279,2203136,248.515579223633
2021-05-26,277.75,279.5,275,276.25,1759152,246.06608581543
2021-05-27,277.25,280,275.25,279.5,1772604,248.960922241211
2021-05-28,276.25,277.5,272.75,276.75,1798548,246.511444091797
2021-06-01,273.5,283,272,279.5,2367284,248.960922241211
2021-06-02,278.5,282.25,275.75,278,1999524,247.624847412109
2021-06-03,285.25,291,282,286.75,2541220,255.418853759766
2021-06-04,281.75,282,270.75,271.75,3147884,242.057769775391
2021-06-07,273.5,275,269.25,269.5,2062932,240.053604125977
2021-06-08,265,273.25,262.75,269.25,2619888,239.830932617188
2021-06-09,265.5,269.25,263.75,268.75,1671312,239.385559082031
2021-06-10,268,269.25,260,260.25,3885124,231.81428527832
2021-06-11,260.25,262,258.25,258.25,1576076,230.032821655273
2021-06-14,257.5,260.25,251,251,1867852,223.574951171875
2021-06-15,251.5,257.5,251,255.75,2261968,227.805953979492
2021-06-16,254.75,266.75,252.25,258.75,4062332,230.47819519043
2021-06-17,261,261.25,246.5,248.75,4112968,221.570816040039
2021-06-18,252.25,256.25,249.75,254.5,3262736,226.692565917969
2021-06-21,254.25,259.25,249,250,2444036,222.684234619141
2021-06-22,250.25,251,241.75,243,2956380,216.449066162109
2021-06-23,242.75,244.25,240,242.5,2088188,216.003707885742
2021-06-24,238.25,239.5,234.75,238,2814876,211.995376586914
